Rank	Score	ADR	r_Drugname	Support	Confidence	Drug1	Support1	Confidence1	Drug2	Support2	Confidence2	id
1	0.811916336	Serotonin syndrome	[ONDANSETRON] [LITHIUM]	11	91.6667	ONDANSETRON	35	8.39329	LITHIUM	28	10.3321	"106317631,106317661,106420651,106420671,106420681,106420691,106528871,106528891,106528901,106528911,106528941,106528951,106540561,106540651,106583891,106594581,106602501,106602611,106602621,106602941,106602971,106611781,106611851,106612151,106612231,106613551,106613711,106616091,106616231,106616521"
2	0.690283007	Posterior reversible encephalopathy syndrome	[ETOPOSIDE] [CICLOSPORIN]	19	86.3636	ETOPOSIDE	35	8.39329	CICLOSPORIN	28	10.3321	"106317631,106317661,106420651,106420671,106420681,106420691,106528871,106528891,106528901,106528911,106528941,106528951,106540561,106540651,106583891,106594581,106602501,106602611,106602621,106602941,106602971,106611781,106611851,106612151,106612231,106613551,106613711,106616091,106616231,106616521"
3	0.661549906	Toxicity to various agents	[TEMAZEPAM] [DIAZEPAM]	10	83.3333	DIAZEPAM	67	15.2273	TEMAZEPAM	15	15.9574	"105079081,105079151,105161101,105163671,105163711,105452881,105778331,105872721,105885391,105971721,106999642,107048651"
4	0.623051645	Toxicity to various agents	[OXAZEPAM] [DIAZEPAM]	11	91.6667	OXAZEPAM	16	20.7792	DIAZEPAM	67	15.2273	"105030091,105079081,105161101,105161781,105163711,105163941,105452881,105778331,106567571,106653411,106687071,106798861,106842371,106999642"
5	0.599064455	"Toxicity to various agents,Cardiacdisorder,Substanceabuse"	[SUBUTEX] [COCAINE]	10	83.3333	SUBUTEX	11	12.9412	COCAINE	10	16.6667	"105120461,105274451,105451122,105472161,105502612,105522291,105523311,105594341,105609791,105618262,105846621"
6	0.590263552	Hyponatraemia	[HUMALOG] [ALLOPURINOL]	12	63.1579	ALLOPURINOL	18	2.69461	HUMALOG	15	2.5641	"103079932,103098452,105990031,106018301,106031963,106091511,106122291,106166951,106197181,106210821,106233171,106368441"
7	0.577434639	Acute kidney injury	[OMEPRAZOLE] [OLANZAPINE]	11	73.3333	OMEPRAZOLE	50	2.89687	OLANZAPINE	12	4.10959	"105060373,105661531,105723631,105738921,105750161,105778211,105799891,105802241,105818101,105895131,105895521,105903281,105930071,106271321"
8	0.569537733	Drug ineffective	[FEXOFENADINE] [CICLOSPORIN]	10	100	CICLOSPORIN	38	14.0221	FEXOFENADINE	13	25.4902	"100224372,102650952,104962516,105237271,105267852,105340961,105407641,105407902,105499902,105520471,105529051,105594351,105643821"
10	0.52778695	Pancreatic carcinoma	[BYETTA] [VICTOZA]	17	89.4737	VICTOZA	40	19.5122	BYETTA	38	28.7879	"101741312,101882375,102492282,102763572,103853142,104059142,104153813,104409682,104491892,104550452,104670102,104738183,105157082,105620371,105682781,105935341,106102071,106128361,106811881,97043652,97086882"
11	0.520433268	"Pneumatosis intestinalis,Product use issue"	[BUDESONIDE] [BUSULFAN]	10	100	BUDESONIDE	11	8.73016	BUSULFAN	10	20	"106141231,106141401,106141421,106141471,106141531,106141761,106141871,106141951,106142001,106142021"
12	0.519744017	Serotonin syndrome	[VANCOMYCIN] [DIPHENHYDRAMINE]	10	90.9091	DIPHENHYDRAMINE	14	7.36842	VANCOMYCIN	33	15.2074	"106566561,106566581,106572671,106583381,106640611,106685461,106685561,106685981,106686311,106762281,106762421,106800461,106801431,106801831,106802001"
13	0.511061672	Confusional state	[LORAZEPAM] [PARACETAMOL]	11	64.7059	PARACETAMOL	37	3.8105	LORAZEPAM	26	5.16899	"105198431,105214281,105267561,105284871,105435601,105863091,105935591,105961571,106002681,106011371,106021961,106062481,106634262"
14	0.501396584	Drug abuse	[OXYCODONE] [METHADONE]	13	68.4211	OXYCODONE	73	17.8922	METHADONE	36	17.4757	"106255831,106258321,106356741,106362161,106362191,106362921,106362971,106363271,106363291,106363301,106363821,106365121,106387951,106482081"
15	0.489225063	"Confusional state,Fall,Loss of consciousness"	[SINEMET] [NOVORAPID]	15	100	SINEMET	15	15.9574	NOVORAPID	15	6.04839	"105303531,105333351,105370941,105402011,105408281,105424761,105448321,105478161,105484211,105497941,105520321,105561121,105564461,105584681,105594291"
16	0.486502276	Hyponatraemia	[ALLOPURINOL] [SERTRALINE]	10	58.8235	ALLOPURINOL	18	2.69461	SERTRALINE	23	3.47958	"105585303,105618441,105800441,105990031,106018301,106031963,106091511,106122291,106166951,106197181,106210821,106233171,106368441"
17	0.482914899	Platelet count decreased	[LOXONIN] [RIBAVIRIN]	15	62.5	LOXONIN	19	13.1034	RIBAVIRIN	119	12.3444	"103330614,103672403,104353412,104587413,104879443,105085532,105098621,105146862,105146872,105150532,105261641,105527271,105674802,105728511,105984711,106273811"
19	0.456149001	Hepaticfailure	[MIRTAZAPINE] [CARBAMAZEPINE]	10	62.5	MIRTAZAPINE	11	2.84238	CARBAMAZEPINE	11	4.4898	"105925081,105947351,105958151,106001611,106056341,106057231,106104741,106150791,106151091,106167391,106172031"
20	0.450154043	"Urinary incontinence,Sexual dysfunction"	[FLUOROURACIL] [AMLODIPINE]	10	76.9231	AMLODIPINE	11	0.797101	FLUOROURACIL	10	1.8797	"106635041,106686651,106721621,106765951,106773611,106778531,106783191,106799091,106810461,106847021,106873811"
21	0.444713042	Platelet count decreased	[PEGINTRON] [MUCOSTA]	16	76.1905	PEGINTRON	79	28.8321	MUCOSTA	23	22.7723	"101113663,102650774,103295194,103570144,103647723,104493594,104768543,104879443,104938603,105085532,105114361,105146862,105331321,105527271,105560213,105674802,106022282,106407771"
