Rank,Score
1,0.798438884
2,0.690283007
3,0.661549906
4,0.623051645
5,0.599064455
6,0.590263552
7,0.577434639
8,0.569537733
9,0.52847827
10,0.52778695
11,0.520433268
12,0.519744017
13,0.511061672
14,0.501396584
15,0.489225063
16,0.486502276
17,0.482914899
18,0.478387982
19,0.456149001
20,0.450154043
21,0.444713042
22,0.436063449
23,0.432115296
24,0.426142937
25,0.421909426
26,0.420595183
27,0.413633873
28,0.411349462
29,0.410433606
30,0.404603609
31,0.403843587
32,0.402957218
33,0.380825169
34,0.380669159
35,0.375497213
36,0.368553103
37,0.368400346
38,0.361666806
39,0.359968702
40,0.357042149
41,0.351555653
42,0.349911791
43,0.345435566
44,0.34535976
45,0.341849266
46,0.34048709
47,0.34033569
48,0.336261117
49,0.331897531
50,0.331165934
51,0.328231253
52,0.328142521
53,0.327854549
54,0.31942669
55,0.314775474
56,0.312416179
57,0.301200996
58,0.299418879
59,0.298361823
60,0.296696756
61,0.296670092
62,0.29593241
63,0.292577078
64,0.291588948
65,0.290058314
66,0.283649064
67,0.282532185
68,0.281992629
69,0.279683695
70,0.279465081
71,0.279063801
72,0.275856761
73,0.275159101
74,0.275
75,0.27480814
76,0.274796265
77,0.271705944
78,0.270436957
79,0.270212069
80,0.269812033
81,0.264115439
82,0.26260959
83,0.262311762
84,0.261857671
85,0.261756112
86,0.261402026
87,0.259109271
88,0.258637274
89,0.256409626
90,0.253594548
91,0.25298581
92,0.250533083
93,0.250208545
94,0.248458007
95,0.247102512
96,0.246893383
97,0.246275096
98,0.246232715
99,0.243258174
100,0.243082786
101,0.241906522
102,0.241598336
103,0.241195907
104,0.240671474
105,0.239502722
106,0.239490977
107,0.237069186
108,0.231726864
109,0.231320483
110,0.226247279
111,0.22550587
112,0.222979388
113,0.222147003
114,0.2202998
115,0.21936313
116,0.215798885
117,0.215449023
118,0.214242199
119,0.213664114
120,0.213264168
121,0.2128634
122,0.209671306
123,0.207742428
124,0.207399043
125,0.205899828
126,0.203640441
127,0.202322553
128,0.202235948
129,0.201755511
130,0.201355535
131,0.201124464
132,0.201110557
133,0.20012186
134,0.199740276
135,0.198280792
136,0.197794456
137,0.197711268
138,0.196093919
139,0.195574757
140,0.195563566
141,0.195290785
142,0.19391725
143,0.193104743
144,0.191959426
145,0.190317942
146,0.188269967
147,0.187973113
148,0.187665472
149,0.187469319
150,0.185725371
151,0.185253451
152,0.183831907
153,0.181431572
154,0.181170626
155,0.178074721
156,0.177770381
157,0.174900199
158,0.173906244
159,0.173775324
160,0.173343234
161,0.17277363
162,0.172347368
163,0.172108359
164,0.171447613
165,0.170783747
166,0.170764094
167,0.170442145
168,0.170383247
169,0.169983918
170,0.168970896
171,0.168727322
172,0.166912225
173,0.16555171
174,0.16492988
175,0.164865014
176,0.164613115
177,0.164259982
178,0.164067531
179,0.163339353
180,0.163311355
181,0.163304203
182,0.16274349
183,0.162628565
184,0.162613024
185,0.161032002
186,0.161011223
187,0.159628211
188,0.158000456
189,0.157428917
190,0.157327308
191,0.157133787
192,0.156773968
193,0.156342958
194,0.155595938
195,0.155089334
196,0.155011758
197,0.152984799
198,0.152459868
199,0.152045726
200,0.151906464
201,0.151738641
202,0.150401818
203,0.149951175
204,0.149879675
205,0.149877113
206,0.149463713
207,0.149356702
208,0.149209129
209,0.149002814
210,0.14899025
211,0.147362938
212,0.147323976
213,0.14688072
214,0.146277369
215,0.146141598
216,0.145842077
217,0.145532293
218,0.144537313
219,0.142949784
220,0.142666122
221,0.142255079
222,0.141614446
223,0.141279641
224,0.140953341
225,0.140669599
226,0.139525613
227,0.13941743
228,0.138949018
229,0.138734592
230,0.138463696
231,0.138076763
232,0.138000681
233,0.136767319
234,0.136736232
235,0.136447257
236,0.136320198
237,0.135958643
238,0.135943498
239,0.135928297
240,0.135877974
241,0.135281001
242,0.13484267
243,0.134619249
244,0.134385906
245,0.134141753
246,0.133686083
247,0.133488781
248,0.13304558
249,0.13303642
250,0.132804863
251,0.132729994
252,0.132371429
253,0.132276152
254,0.131285882
255,0.130101398
256,0.129066971
257,0.128925064
258,0.128432163
259,0.128171582
260,0.127475514
261,0.127275374
262,0.127103995
263,0.126255767
264,0.125807851
265,0.12568778
266,0.125487791
267,0.124886267
268,0.124320023
269,0.123893268
270,0.123392816
271,0.123324462
272,0.1231339
273,0.123069047
274,0.122302345
275,0.122119411
276,0.12191273
277,0.121652596
278,0.121643745
279,0.121158194
280,0.121090918
281,0.120860977
282,0.120699096
283,0.120651786
284,0.120026031
285,0.119826568
286,0.119622476
287,0.119138736
288,0.119137504
289,0.119088195
290,0.11854958
291,0.118312118
292,0.118235175
293,0.117552302
294,0.117508482
295,0.117507
296,0.116850164
297,0.116673692
298,0.116120377
299,0.11594958
300,0.115461399
301,0.115209188
302,0.114984105
303,0.114903705
304,0.114822311
305,0.114768516
306,0.114657957
307,0.114576833
308,0.114314465
309,0.114301243
310,0.113898679
311,0.113762587
312,0.113470118
313,0.113371215
314,0.111832388
315,0.111617308
316,0.111552141
317,0.111529916
318,0.11140038
319,0.111244415
320,0.111151254
321,0.110888458
322,0.110863418
323,0.110759173
324,0.110540149
325,0.110261112
326,0.110012262
327,0.109076334
328,0.108587659
329,0.108200842
330,0.107437911
331,0.107414433
332,0.107405402
333,0.10708807
334,0.107065824
335,0.10705065
336,0.106880949
337,0.106798416
338,0.106390958
339,0.10603181
340,0.105506532
341,0.105462123
342,0.105420177
343,0.10533448
344,0.105248596
345,0.105020716
346,0.104941181
347,0.104547796
348,0.104315655
349,0.104108582
350,0.103830918
351,0.10304121
352,0.102780992
353,0.102730305
354,0.102723583
355,0.102627677
356,0.102602452
357,0.102353157
358,0.101371442
359,0.101075359
360,0.101061097
361,0.101055576
362,0.100598534
363,0.100005725
364,0.099604674
365,0.099423153
366,0.099228671
367,0.099184496
368,0.098919569
369,0.098631032
370,0.09857587
371,0.097907779
372,0.097678374
373,0.096859766
374,0.096740173
375,0.096423511
376,0.096065412
377,0.095861055
378,0.094957784
379,0.094770804
380,0.094762681
381,0.094593329
382,0.094345207
383,0.093908492
384,0.093768303
385,0.093427301
386,0.092893686
387,0.092785141
388,0.09270885
389,0.092687546
390,0.092685763
391,0.092498132
392,0.09227202
393,0.092162431
394,0.091848207
395,0.091818837
396,0.09165365
397,0.091648759
398,0.091599052
399,0.091543322
400,0.091432622
401,0.091268389
402,0.090936447
403,0.090676305
404,0.089905209
405,0.08969263
406,0.089639329
407,0.089560559
408,0.089384071
409,0.089376626
410,0.088830255
411,0.088396455
412,0.08812169
413,0.088120476
414,0.088068111
415,0.087787721
416,0.087673912
417,0.087417361
418,0.086805538
419,0.086720732
420,0.086405434
421,0.086382288
422,0.086350535
423,0.086346365
424,0.086298837
425,0.086230554
426,0.086190506
427,0.086072014
428,0.085694835
429,0.085436324
430,0.085344
431,0.085224077
432,0.084983353
433,0.084980063
434,0.08490878
435,0.084767412
436,0.084263989
437,0.084175188
438,0.083968627
439,0.083702868
440,0.083348075
441,0.083249264
442,0.082779183
443,0.082755926
444,0.082483167
445,0.082455752
446,0.082179878
447,0.081731282
448,0.081633741
449,0.081419939
450,0.081398171
451,0.081262038
452,0.080959656
453,0.080948852
454,0.080918842
455,0.080821231
456,0.08041926
457,0.080408107
458,0.080219806
459,0.080182707
460,0.080175025
461,0.079903194
462,0.079757873
463,0.079721093
464,0.079484931
465,0.079484632
466,0.079233632
467,0.079203846
468,0.079011573
469,0.078625672
470,0.078600186
471,0.078549161
472,0.078450324
473,0.078408321
474,0.078308017
475,0.077659348
476,0.077421817
477,0.077380735
478,0.07732227
479,0.077250826
480,0.077125602
481,0.076980154
482,0.076933056
483,0.076728306
484,0.07648802
485,0.075969347
486,0.075199703
487,0.074947606
488,0.074842214
489,0.074824185
490,0.074738934
491,0.074493558
492,0.074457177
493,0.07367584
494,0.07349133
495,0.073101438
496,0.073099892
497,0.073084496
498,0.073073407
499,0.072917328
500,0.072666658
501,0.072120138
502,0.072075306
503,0.072073876
504,0.07203401
505,0.071871896
506,0.071468106
507,0.071186482
508,0.071116042
509,0.071041546
510,0.070909418
511,0.070734006
512,0.07072691
513,0.070689755
514,0.070581963
515,0.070330424
516,0.070152606
517,0.069959755
