Rank	Score	No_of_Drugs	ADR	intr_drugs	Support	Confidence	Drug1	Support1	Confidence1	Drug2	Support2	Confidence2	id
6	0.590263552	2	[Hyponatraemia]	[HUMALOG] [ALLOPURINOL]	12	63.1579	ALLOPURINOL	18	2.69461	HUMALOG	15	2.5641	105165141
10	0.52778695	2	[Pancreaticcarcinoma]	[BYETTA] [VICTOZA]	17	89.4737	VICTOZA	40	19.5122	BYETTA	38	28.7879	"105,157,082,106,128,000,000,000,000"
14	0.501396584	2	[Drugabuse]	[OXYCODONE] [METHADONE]	13	68.4211	OXYCODONE	73	17.8922	METHADONE	36	17.4757	"105,318,301,105,553,000,000,000,000"
22	0.436063449	2	[Toxicitytovariousagents]	[Paracetamol] [DIAZEPAM]	11	61.1111	Paracetamol	21	16.4062	DIAZEPAM	67	15.2273	106351921
28	0.411349462	2	[Malaise]	[LISINOPRIL] [PARACETAMOL]	12	46.1538	LISINOPRIL	32	2.18579	PARACETAMOL	24	2.47168	"105,509,681,105,509,000"
29	0.410433606	2	[Diseaseprogression]	[FLUOROURACIL] [AVASTIN]	81	67.5	FLUOROURACIL	87	16.3534	AVASTIN	132	22.1106	"103,559,665,106,124,000"
32	0.402957218	2	[Drugabuse]	[TAVOR] [PAROXETINE]	11	73.3333	PAROXETINE	41	16.1417	TAVOR	24	25.8065	"105,674,891,105,700,000"
33	0.380825169	2	[Osteonecrosisofjaw]	[XGEVA] [ZOMETA]	37	88.0952	XGEVA	115	20.4626	ZOMETA	169	41.1192	###############################################################################################################################################################################################################################################################
35	0.375497213	2	[Pneumonia]	[JANUVIA] [LISINOPRIL]	12	54.5455	LISINOPRIL	39	2.66393	JANUVIA	24	4.56274	102103203
37	0.368400346	2	[Substanceabuse]	[ALCOHOL] [OXYCONTIN]	13	92.8571	OXYCONTIN	34	6.36704	ALCOHOL	21	21	"10,516,656,110,522,700,000,000,000,000,000,000,000,000,000"
38	0.361666806	2	[Acutekidneyinjury]	[COCODAMOL] [NAPROXEN]	15	60	COCODAMOL	31	15.3465	NAPROXEN	34	9.39227	"105,569,031,105,577,000,000,000,000"
43	0.345435566	2	[Psychoticdisorder]	[LORAZEPAM] [DIAZEPAM]	10	47.619	DIAZEPAM	19	4.31818	LORAZEPAM	14	2.7833	"105,227,901,105,531,000"
47	0.34033569	2	[Pancreaticcarcinoma]	[JANUVIA] [VICTOZA]	12	80	JANUVIA	35	6.65399	VICTOZA	40	19.5122	"100,704,172,102,195,000,000,000,000,000,000,000"
50	0.331165934	2	[Kaposissarcoma]	[METHYLPREDNISOLONE] [CICLOSPORIN]	21	46.6667	METHYLPREDNISOLONE	22	5.45906	CICLOSPORIN	21	7.74908	106365241
54	0.31942669	2	[Drugresistance]	[LAMIVUDINE] [ENTECAVIR]	27	96.4286	ENTECAVIR	32	58.1818	LAMIVUDINE	45	23.4375	"105,031,141,105,229,000"
59	0.298361823	2	[Transientischaemicattack] [Cerebrovascularaccident]	[LIPITOR] [CRESTOR]	10	37.037	LIPITOR	13	0.967982	CRESTOR	11	1.3597	"104,196,463,105,844,000"
66	0.283649064	2	[Offlabeluse]	[SOFOSBUVIR] [SIMEPREVIR]	26	54.1667	SOFOSBUVIR	56	23.7288	SIMEPREVIR	38	17.2727	"102600222,104073942,104954001,104986441,104986541,105286251,105554631,105613423,105802341,105821312,105821352,105821382,105897511,105897701,105897801,105898021,105898081,105898201,105898481,105898941,105899321,105899521,105899731,105934531,105935021,105935491,106103431,106103442,106393341,106431821,106789131"
67	0.282532185	2	[Femurfracture]	[FOSAMAX] [BONIVA]	10	76.9231	FOSAMAX	117	41.7857	BONIVA	23	50	"105,095,461,105,121,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
70	0.279465081	2	[Druginteraction]	[RITONAVIR] [DOCETAXEL]	10	100	DOCETAXEL	12	2.35294	RITONAVIR	17	13.1783	"106,078,821,106,078,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
71	0.279063801	2	[Myocardialinfarction]	[PLAVIX] [ECOTRIN]	14	56	ECOTRIN	24	26.3736	PLAVIX	313	19.0158	"9,809,770,398,106,910"
73	0.275159101	2	[Hyperprolactinaemia] [Gynaecomastia] [Abnormalweightgain]	[INVEGA] [RISPERDAL]	319	94.9405	RISPERDAL	319	52.9022	INVEGA	319	72.009	"10,100,531,310,450,600,000,000,000,000,000,000,000,000,000,000,000,000"
74	0.275	2	[Femurfracture]	[BONIVA] [ACTONEL]	12	100	BONIVA	23	50	ACTONEL	13	12.5	"10,204,992,210,240,300,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
75	0.27480814	2	[Drugabuse]	[ALPRAZOLAM] [OXYCODONE]	15	48.3871	OXYCODONE	73	17.8922	ALPRAZOLAM	69	12.7072	106517571
76	0.274796265	2	[Gynaecomastia]	[INVEGA] [RISPERDAL]	329	97.9167	RISPERDAL	337	55.8872	INVEGA	334	75.395	"10,100,531,310,450,600,000,000,000,000,000,000,000,000,000,000,000,000"
78	0.270436957	2	[Type2diabetesmellitus]	[LIPITOR] [MULTIVITAMINS]	18	78.2609	MULTIVITAMINS	18	15.5172	LIPITOR	558	41.5488	"1,045,752,521,050,560,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
79	0.270212069	2	[Cerebrovascularaccident]	[AGGRENOX] [AVANDIA]	12	75	AGGRENOX	18	43.9024	AVANDIA	986	20.1224	"101,066,092,101,208,000"
82	0.26260959	2	[Toxicitytovariousagents]	[DULOXETINE] [DIAZEPAM]	23	79.3103	DULOXETINE	46	42.9907	DIAZEPAM	67	15.2273	"105,079,091,105,079,000"
84	0.261857671	2	[Drugabuse]	[PARACETAMOL] [METHADONE]	12	70.5882	PARACETAMOL	48	4.94336	METHADONE	36	17.4757	106473391
90	0.253594548	2	[Galactorrhoea] [Hyperprolactinaemia] [Gynaecomastia] [Abnormalweightgain]	[INVEGA] [RISPERDAL]	294	87.5	INVEGA	294	66.3657	RISPERDAL	294	48.7562	"10,100,531,310,450,600,000,000,000,000,000,000,000,000,000,000,000,000"
97	0.246275096	2	[Myalgia]	[SIMVASTATIN] [CRESTOR]	14	63.6364	SIMVASTATIN	253	12.9478	CRESTOR	30	3.70828	"1,056,973,621,057,380,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
102	0.241598336	2	[Acutekidneyinjury]	[LOSARTAN] [BENDROFLUMETHIAZIDE]	12	57.1429	LOSARTAN	26	4.59364	BENDROFLUMETHIAZIDE	22	13.6646	"105,126,091,105,150,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
103	0.241195907	2	[Drugresistance] [Genotypedrugresistancetest] [Viralinfection]	[LAMIVUDINE] [ENTECAVIR]	24	85.7143	ENTECAVIR	28	50.9091	LAMIVUDINE	29	15.1042	"105,031,141,105,229,000"
104	0.240671474	2	[Drugabuse]	[OXYCODONE] [DEXTROMETHORPHAN]	10	100	OXYCODONE	73	17.8922	DEXTROMETHORPHAN	31	67.3913	106384101
108	0.231726864	2	[Drugresistance]	[ADEFOVIR] [LAMIVUDINE]	11	91.6667	LAMIVUDINE	45	23.4375	ADEFOVIR	11	68.75	###############################################################################################################################################################################################################################################################
111	0.22550587	2	[Pancreaticcarcinoma]	[JANUVIA] [BYETTA]	14	77.7778	JANUVIA	35	6.65399	BYETTA	38	28.7879	"1,047,501,421,048,020,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
127	0.202322553	2	[Diseaseprogression]	[FLUOROURACIL] [LEUCOVORIN]	77	82.7957	FLUOROURACIL	87	16.3534	LEUCOVORIN	79	57.6642	106396232
137	0.197711268	2	[Unevaluableevent]	[THALOMID] [DEXAMETHASONE]	17	53.125	DEXAMETHASONE	93	5.83072	THALOMID	18	18.3673	"104,970,511,104,970,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
140	0.195563566	2	[Drugabuse]	[ALPRAZOLAM] [MORPHINE]	12	44.4444	MORPHINE	93	22.3022	ALPRAZOLAM	69	12.7072	"106,255,911,106,256,000,000,000,000"
141	0.195290785	2	[Drugineffective]	[METHOTREXATE] [CICLOSPORIN]	18	43.9024	CICLOSPORIN	38	14.0221	METHOTREXATE	90	5.63204	"103,855,533,105,557,000,000,000,000,000,000,000"
148	0.187665472	2	[Drugabuse]	[OXYCODONE] [MORPHINE]	21	41.1765	OXYCODONE	73	17.8922	MORPHINE	93	22.3022	"105,580,441,106,236,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
149	0.187469319	2	[Foetalexposureduringpregnancy]	[NICOTINE] [SUBOXONE]	19	57.5758	NICOTINE	21	32.3077	SUBOXONE	47	11.5196	"104,726,822,105,361,000,000,000,000"
156	0.177770381	2	[Drugabuse]	[PERCOCET] [OXYCONTIN]	12	44.4444	PERCOCET	14	7.52688	OXYCONTIN	101	18.9139	"104,961,411,105,319,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
160	0.173343234	2	[Drugresistance] [Genotypedrugresistancetest] [Viralinfection]	[ADEFOVIR] [LAMIVUDINE]	10	83.3333	LAMIVUDINE	29	15.1042	ADEFOVIR	10	62.5	###############################################################################################################################################################################################################################################################
172	0.166912225	2	[Drugabuse]	[CODEINE] [OXYCODONE]	12	54.5455	OXYCODONE	73	17.8922	CODEINE	69	38.5475	"106,387,931,106,411,000"
